traffic_rate,traffic_rate_unit,end_to_end_delay,delay_unit,protocol,N,trial_id
50.0,packets/sec,0.0016635421686746962,seconds,ALOHA,50,trial_20260613_015543
50.0,packets/sec,0.04606084337349397,seconds,TDMA,50,trial_20260613_015543
50.0,packets/sec,0.001885228915662639,seconds,CSMA_CA,50,trial_20260613_015543
100.0,packets/sec,0.00171546580907243,seconds,ALOHA,50,trial_20260613_015543
100.0,packets/sec,0.05045388712871282,seconds,TDMA,50,trial_20260613_015543
100.0,packets/sec,0.002018403474903478,seconds,CSMA_CA,50,trial_20260613_015543
150.0,packets/sec,0.001758877053026744,seconds,ALOHA,50,trial_20260613_015543
150.0,packets/sec,0.05499668617021277,seconds,TDMA,50,trial_20260613_015543
150.0,packets/sec,0.002174583037300162,seconds,CSMA_CA,50,trial_20260613_015543
200.0,packets/sec,0.0017996595125500084,seconds,ALOHA,50,trial_20260613_015543
200.0,packets/sec,0.06150781500000009,seconds,TDMA,50,trial_20260613_015543
200.0,packets/sec,0.0023430832219251364,seconds,CSMA_CA,50,trial_20260613_015543
250.0,packets/sec,0.001833174135338356,seconds,ALOHA,50,trial_20260613_015543
250.0,packets/sec,0.07019738985736919,seconds,TDMA,50,trial_20260613_015543
250.0,packets/sec,0.002588273990561083,seconds,CSMA_CA,50,trial_20260613_015543
300.0,packets/sec,0.001844927900552479,seconds,ALOHA,50,trial_20260613_015543
300.0,packets/sec,0.07477391705937812,seconds,TDMA,50,trial_20260613_015543
300.0,packets/sec,0.0027205207512172656,seconds,CSMA_CA,50,trial_20260613_015543
350.0,packets/sec,0.001892991440798861,seconds,ALOHA,50,trial_20260613_015543
350.0,packets/sec,0.093508382234957,seconds,TDMA,50,trial_20260613_015543
350.0,packets/sec,0.0032962646833013588,seconds,CSMA_CA,50,trial_20260613_015543
400.0,packets/sec,0.0019136095617529904,seconds,ALOHA,50,trial_20260613_015543
400.0,packets/sec,0.11898590513245055,seconds,TDMA,50,trial_20260613_015543
400.0,packets/sec,0.0038046329305135938,seconds,CSMA_CA,50,trial_20260613_015543
450.0,packets/sec,0.001950781731395095,seconds,ALOHA,50,trial_20260613_015543
450.0,packets/sec,0.14190885301563638,seconds,TDMA,50,trial_20260613_015543
450.0,packets/sec,0.004783173791821528,seconds,CSMA_CA,50,trial_20260613_015543
500.0,packets/sec,0.001952702294810825,seconds,ALOHA,50,trial_20260613_015543
500.0,packets/sec,0.19409529769671127,seconds,TDMA,50,trial_20260613_015543
500.0,packets/sec,0.0055638078216989455,seconds,CSMA_CA,50,trial_20260613_015543
550.0,packets/sec,0.0019847500505152547,seconds,ALOHA,50,trial_20260613_015543
550.0,packets/sec,0.3249211414364641,seconds,TDMA,50,trial_20260613_015543
550.0,packets/sec,0.00717400222980066,seconds,CSMA_CA,50,trial_20260613_015543
600.0,packets/sec,0.001999538399516219,seconds,ALOHA,50,trial_20260613_015543
600.0,packets/sec,0.5135417643421527,seconds,TDMA,50,trial_20260613_015543
600.0,packets/sec,0.008912875726193493,seconds,CSMA_CA,50,trial_20260613_015543
650.0,packets/sec,0.0020291038700621642,seconds,ALOHA,50,trial_20260613_015543
650.0,packets/sec,0.7501354605992069,seconds,TDMA,50,trial_20260613_015543
650.0,packets/sec,0.009548652152089348,seconds,CSMA_CA,50,trial_20260613_015543
700.0,packets/sec,0.002037474841521392,seconds,ALOHA,50,trial_20260613_015543
700.0,packets/sec,0.9782201174463395,seconds,TDMA,50,trial_20260613_015543
700.0,packets/sec,0.011303591773331673,seconds,CSMA_CA,50,trial_20260613_015543
750.0,packets/sec,0.0020406993599008886,seconds,ALOHA,50,trial_20260613_015543
750.0,packets/sec,1.3822156661568745,seconds,TDMA,50,trial_20260613_015543
750.0,packets/sec,0.012672996011964087,seconds,CSMA_CA,50,trial_20260613_015543
800.0,packets/sec,0.0020618524188610082,seconds,ALOHA,50,trial_20260613_015543
800.0,packets/sec,1.7750199951219507,seconds,TDMA,50,trial_20260613_015543
800.0,packets/sec,0.013437256339787674,seconds,CSMA_CA,50,trial_20260613_015543
850.0,packets/sec,0.002079413533834596,seconds,ALOHA,50,trial_20260613_015543
850.0,packets/sec,2.0756452480502574,seconds,TDMA,50,trial_20260613_015543
850.0,packets/sec,0.014167377654895053,seconds,CSMA_CA,50,trial_20260613_015543
900.0,packets/sec,0.0020931090078328994,seconds,ALOHA,50,trial_20260613_015543
900.0,packets/sec,2.3707373348827208,seconds,TDMA,50,trial_20260613_015543
900.0,packets/sec,0.015260002659574522,seconds,CSMA_CA,50,trial_20260613_015543
950.0,packets/sec,0.002098085823410482,seconds,ALOHA,50,trial_20260613_015543
950.0,packets/sec,2.6215182122488687,seconds,TDMA,50,trial_20260613_015543
950.0,packets/sec,0.015259731487361887,seconds,CSMA_CA,50,trial_20260613_015543
1000.0,packets/sec,0.0021155879808786517,seconds,ALOHA,50,trial_20260613_015543
1000.0,packets/sec,2.8251027410328384,seconds,TDMA,50,trial_20260613_015543
1000.0,packets/sec,0.016063315742282536,seconds,CSMA_CA,50,trial_20260613_015543
