Offered_Load_pps,ALOHA_Throughput_Mbps,TDMA_Throughput_Mbps,CSMA_Throughput_Mbps,ALOHA_Drops,TDMA_Drops,CSMA_Drops,ALOHA_Q_len,TDMA_Q_len,CSMA_Q_len,ALOHA_Delay_s,TDMA_Delay_s,CSMA_Delay_s,ALOHA_Util,TDMA_Util,CSMA_Util,ALOHA_Collisions,TDMA_Collisions,CSMA_Collisions
50,0.3984,0.3984,0.3984,4,0,0,6.419998716000257e-05,0.044423199115360176,0.00015659996868000627,0.0016635421686746962,0.04606084337349397,0.001885228915662639,0.0799931840013632,0.1595591680881664,0.08605438278912345,2,0,0
100,0.7877333333333334,0.808,0.8288,42,0,0,0.00026374794725041054,0.09886951622609676,0.0006017158796568241,0.00171546580907243,0.05045388712871282,0.002018403474903478,0.1599863680027264,0.32360393527921294,0.17905196418960717,21,0,4
150,1.1365333333333332,1.2032,1.2010666666666667,133,0,0,0.0005876638824672235,0.16088477182304564,0.0013409397318120536,0.001758877053026744,0.05499668617021277,0.002174583037300162,0.23431915313616938,0.48188150362369925,0.25950054809989037,63,0,9
200,1.4661333333333333,1.6,1.5957333333333332,266,0,1,0.0010179837964032407,0.24063697187260563,0.0024667195066560986,0.0017996595125500084,0.06150781500000009,0.0023430832219251364,0.3071039385792123,0.6407998718400256,0.34489673102065377,127,0,28
250,1.7733333333333332,2.0192,2.034133333333333,477,0,7,0.0015446636910672617,0.3472514305497139,0.004447019110596178,0.001833174135338356,0.07019738985736919,0.002588273990561083,0.37903312419337515,0.8086882382623524,0.4397033120593376,224,0,43
300,1.9306666666666668,2.2634666666666665,2.3002666666666665,651,0,13,0.0018776156244768752,0.41652235269552945,0.005878126824374635,0.001844927900552479,0.07477391705937812,0.0027205207512172656,0.4185491162901767,0.9065170186965963,0.4974581005083799,299,0,77
350,2.2432,2.792,2.7786666666666666,1065,0,37,0.0027575274484945103,0.644948355010329,0.01125976574804685,0.001892991440798861,0.093508382234957,0.0032962646833013588,0.49973330005334,1.1181945763610848,0.601557479688504,474,0,183
400,2.4096,3.2213333333333334,3.1776,1568,0,78,0.0035667472866505426,0.9503386939322612,0.017694824461035107,0.0019136095617529904,0.11898590513245055,0.0038046329305135938,0.5570686885862622,1.2901425419714916,0.6884944623011076,698,0,279
450,2.4581333333333335,3.5813333333333337,3.4432,2185,0,184,0.004407023118595376,1.2717288576542285,0.02904515419096916,0.001950781731395095,0.14190885301563638,0.004783173791821528,0.5961988807602239,1.4343225131354973,0.7477558504488299,974,0,516
500,2.5797333333333334,4.005866666666667,3.8048,2751,0,364,0.0052193869561226085,1.9432479433504113,0.0425205514958897,0.001952702294810825,0.19409529769671127,0.0055638078216989455,0.6447514710497058,1.6043480791303841,0.8283934343213132,1200,0,852
550,2.6394666666666664,4.344,4.066133333333333,3436,0,739,0.00625868274826345,3.6097361380527726,0.07081635383672923,0.0019847500505152547,0.3249211414364641,0.00717400222980066,0.6877294624541075,1.7397704520459096,0.8888320222335956,1491,0,1364
600,2.6458666666666666,4.6576,4.222933333333333,4117,0,1244,0.007158274568345086,6.180913907817218,0.104979915004017,0.001999538399516219,0.5135417643421527,0.008912875726193493,0.7144918571016285,1.8653672269265547,0.9275140144971971,1729,0,1974
650,2.6597333333333335,4.717333333333333,4.250133333333333,4720,0,1646,0.007919722416055517,9.937090000582,0.12198956360208728,0.0020291038700621642,0.7501354605992069,0.009548652152089348,0.7437550512489898,1.8892904221419156,0.9370978125804375,1977,0,2455
700,2.6922666666666664,4.845333333333333,4.291733333333333,5299,0,2356,0.008666530266693947,13.58469765106047,0.16400923519815297,0.002037474841521392,0.9782201174463395,0.011303591773331673,0.7716994456601108,1.9405544118891176,0.9514702097059581,2178,0,3143
750,2.5829333333333335,4.882133333333333,4.279466666666667,6368,0,3202,0.00972909405418119,21.068601922279615,0.20705058658988268,0.0020406993599008886,1.3822156661568745,0.012672996011964087,0.7940578411884318,1.9552928089414383,0.9544798091040382,2592,0,3865
800,2.6128,4.92,4.269333333333333,7092,0,3884,0.010708197858360429,28.472572781485443,0.23484123703175258,0.0020618524188610082,1.7750199951219507,0.013437256339787674,0.824547435090513,1.9704584059083188,0.9569650086069983,2822,0,4472
850,2.5536,4.923733333333333,4.243733333333333,8049,0,4685,0.011830785633842874,35.88636485872703,0.26963262607347477,0.002079413533834596,2.0756452480502574,0.014167377654895053,0.849596230080754,1.9719536056092788,0.9566524086695183,3168,0,5143
900,2.4512,4.933866666666667,4.2112,8974,84,5770,0.012947913410417318,43.02912119817576,0.32129788374042323,0.0020931090078328994,2.3707373348827208,0.015260002659574522,0.8640118271976346,1.976012004797599,0.9557152088569583,3494,0,5921
950,2.3738666666666663,4.9376,4.198933333333333,9746,284,6204,0.013534593293081341,49.31551080089784,0.33741546451690707,0.002098085823410482,2.6215182122488687,0.015259731487361887,0.8724490255101949,1.977507204498559,0.9552304089539182,3718,0,6191
1000,2.3429333333333333,4.936533333333333,4.163733333333333,10493,824,7225,0.014558157088368582,54.61706964858607,0.37788459242308153,0.0021155879808786517,2.8251027410328384,0.016063315742282536,0.8882554223489155,1.9770800045839991,0.9532882093423581,3924,0,6914
