timestamp,uav_id,d_to_sink,link_up
0.0,0,161.8837,1
0.0,1,208.3569,0
0.0,2,153.9398,1
0.0,3,67.3669,1
0.0,4,76.277,1
0.0,5,72.1346,1
0.0,6,154.7858,1
0.0,7,169.3759,1
0.0,8,249.7742,0
0.0,9,178.6677,1
0.0,10,128.9578,1
0.0,11,192.5388,1
0.0,12,164.349,1
0.0,13,99.1274,1
0.0,14,180.1468,1
0.0,15,93.9983,1
0.0,16,101.8644,1
0.0,17,150.8808,1
0.0,18,224.8486,0
0.0,19,136.968,1
0.0,20,178.0544,1
0.0,21,137.4714,1
0.0,22,185.8446,1
0.0,23,193.9085,1
0.0,24,269.2454,0
0.0,25,177.2454,1
0.0,26,194.7675,1
0.0,27,185.6116,1
0.0,28,200.9672,0
0.0,29,93.9361,1
0.0,30,180.0163,1
0.0,31,121.2697,1
0.0,32,91.6778,1
0.0,33,211.9085,0
0.0,34,212.3268,0
0.0,35,267.1747,0
0.0,36,56.4975,1
0.0,37,150.7136,1
0.0,38,173.7211,1
0.0,39,209.1762,0
0.0,40,199.4011,1
0.0,41,119.297,1
0.0,42,113.0492,1
0.0,43,151.4469,1
0.0,44,175.7967,1
0.0,45,164.9782,1
0.0,46,184.9,1
0.0,47,206.9692,0
0.0,48,209.6181,0
0.0,49,196.0554,1
0.1,0,161.8305,1
0.1,1,207.425,0
0.1,2,155.3493,1
0.1,3,69.9153,1
0.1,4,76.2782,1
0.1,5,73.6297,1
0.1,6,154.7682,1
0.1,7,171.1616,1
0.1,8,249.2008,0
0.1,9,177.4535,1
0.1,10,128.8639,1
0.1,11,192.3128,1
0.1,12,163.7674,1
0.1,13,99.0917,1
0.1,14,179.5092,1
0.1,15,94.2259,1
0.1,16,102.5778,1
0.1,17,151.3362,1
0.1,18,224.3257,0
0.1,19,136.9074,1
0.1,20,176.9574,1
0.1,21,138.4034,1
0.1,22,183.4883,1
0.1,23,196.1237,1
0.1,24,269.6494,0
0.1,25,177.8252,1
0.1,26,194.8991,1
0.1,27,185.9336,1
0.1,28,201.7947,0
0.1,29,92.7631,1
0.1,30,182.636,1
0.1,31,121.5823,1
0.1,32,92.6347,1
0.1,33,211.8698,0
0.1,34,210.6829,0
0.1,35,267.2538,0
0.1,36,55.8204,1
0.1,37,150.7014,1
0.1,38,173.2344,1
0.1,39,208.9558,0
0.1,40,197.933,1
0.1,41,119.3295,1
0.1,42,112.4496,1
0.1,43,152.726,1
0.1,44,176.1663,1
0.1,45,167.1297,1
0.1,46,184.5895,1
0.1,47,206.4135,0
0.1,48,212.1614,0
0.1,49,195.5283,1
0.2,0,161.6281,1
0.2,1,207.1351,0
0.2,2,157.2834,1
0.2,3,68.7459,1
0.2,4,76.3076,1
0.2,5,73.4702,1
0.2,6,154.5397,1
0.2,7,172.4852,1
0.2,8,248.6841,0
0.2,9,175.8479,1
0.2,10,130.3694,1
0.2,11,193.5026,1
0.2,12,163.1844,1
0.2,13,99.4801,1
0.2,14,178.5106,1
0.2,15,93.8499,1
0.2,16,101.0197,1
0.2,17,151.436,1
0.2,18,223.4688,0
0.2,19,135.9758,1
0.2,20,179.3422,1
0.2,21,136.9167,1
0.2,22,183.5044,1
0.2,23,194.62,1
0.2,24,271.9334,0
0.2,25,178.1634,1
0.2,26,193.5369,1
0.2,27,186.2787,1
0.2,28,201.1949,0
0.2,29,94.3378,1
0.2,30,182.7629,1
0.2,31,121.0906,1
0.2,32,94.0594,1
0.2,33,212.0757,0
0.2,34,210.3622,0
0.2,35,266.3135,0
0.2,36,55.1242,1
0.2,37,151.8084,1
0.2,38,173.5759,1
0.2,39,211.3042,0
0.2,40,197.9286,1
0.2,41,116.5059,1
0.2,42,112.806,1
0.2,43,151.6579,1
0.2,44,175.0068,1
0.2,45,169.8946,1
0.2,46,183.6213,1
0.2,47,207.6837,0
0.2,48,210.0011,0
0.2,49,196.1636,1
0.3,0,162.2142,1
0.3,1,206.5463,0
0.3,2,157.9011,1
0.3,3,69.5728,1
0.3,4,76.6092,1
0.3,5,74.5868,1
0.3,6,153.8188,1
0.3,7,173.8651,1
0.3,8,249.2616,0
0.3,9,174.3516,1
0.3,10,130.2387,1
0.3,11,194.2321,1
0.3,12,162.1207,1
0.3,13,97.1699,1
0.3,14,177.5818,1
0.3,15,93.1069,1
0.3,16,101.2304,1
0.3,17,151.4161,1
0.3,18,221.0674,0
0.3,19,136.2293,1
0.3,20,179.0315,1
0.3,21,137.0926,1
0.3,22,180.4632,1
0.3,23,196.9458,1
0.3,24,270.4819,0
0.3,25,178.2746,1
0.3,26,193.2482,1
0.3,27,186.0969,1
0.3,28,201.6399,0
0.3,29,92.7412,1
0.3,30,185.4803,1
0.3,31,122.5425,1
0.3,32,93.8975,1
0.3,33,213.5967,0
0.3,34,210.0031,0
0.3,35,265.4668,0
0.3,36,55.6765,1
0.3,37,150.3239,1
0.3,38,173.0419,1
0.3,39,211.5262,0
0.3,40,197.7065,1
0.3,41,118.8413,1
0.3,42,112.2219,1
0.3,43,150.6352,1
0.3,44,175.2737,1
0.3,45,170.3763,1
0.3,46,183.7624,1
0.3,47,206.4932,0
0.3,48,209.8896,0
0.3,49,195.8344,1
0.4,0,164.7121,1
0.4,1,206.8369,0
0.4,2,158.5876,1
0.4,3,69.9817,1
0.4,4,76.2064,1
0.4,5,76.5698,1
0.4,6,153.7593,1
0.4,7,171.6124,1
0.4,8,249.9467,0
0.4,9,175.8612,1
0.4,10,131.334,1
0.4,11,195.5937,1
0.4,12,161.7948,1
0.4,13,97.1397,1
0.4,14,176.2971,1
0.4,15,93.4124,1
0.4,16,102.1539,1
0.4,17,151.4902,1
0.4,18,218.885,0
0.4,19,133.9999,1
0.4,20,179.591,1
0.4,21,138.3598,1
0.4,22,180.1726,1
0.4,23,198.7999,1
0.4,24,268.8338,0
0.4,25,178.7228,1
0.4,26,193.4892,1
0.4,27,185.6039,1
0.4,28,201.8356,0
0.4,29,94.1945,1
0.4,30,185.2841,1
0.4,31,121.5502,1
0.4,32,93.8422,1
0.4,33,213.7586,0
0.4,34,208.3221,0
0.4,35,264.5166,0
