step,reward
200,-13.693529014933164
400,-12.081574856062385
600,-6.062798698238859
800,-14.361408370436344
1000,-13.649819444998851
1200,-13.87215510680877
1400,-14.048403286467474
1600,-14.092749287564052
1800,-14.999831868893384
2000,-13.300594788966347
2200,-13.07258094954694
2400,-14.461119007577901
2600,-14.304749264895689
2800,-13.474659634050163
3000,-13.206699682058828
3200,-13.16989580253745
3400,-13.474389578003452
3600,-13.999056264236875
3800,-13.420290262109763
4000,-14.33324756701915
4200,-13.656091848815873
4400,-13.474795042715872
4600,-14.901085682758028
4800,-13.773836784767106
5000,-14.934237770694732
