Model,Offered_Load_pps,Throughput_Mbps,Delay_ms,Drops,Collisions,Avg_Reward
Tabular,50,0.04648,3.0709,114,0,-0.057131
Tabular,100,0.1032,4.4485,334,0,-0.062919
Tabular,150,0.18816,6.0726,423,0,-0.062384
Tabular,200,0.23568,6.7815,603,0,-0.05499
Tabular,250,0.17936,6.6121,519,0,-0.059303
Tabular,300,0.30728,6.9036,1007,0,-0.06623
Tabular,350,0.25176,7.8496,672,0,-0.06497
Tabular,400,0.3792,9.0182,849,0,-0.057642
Tabular,450,0.57512,7.6694,1094,0,-0.059742
Tabular,500,0.38392,8.2493,746,0,-0.052196
Tabular,550,0.41976,8.3749,1233,0,-0.062176
Tabular,600,0.46768,10.1378,1824,0,-0.065589
Tabular,650,0.68512,9.0151,1505,0,-0.062828
Tabular,700,0.438,8.4653,782,0,-0.06108
Tabular,750,0.5852,9.6444,1708,0,-0.066327
Tabular,800,0.56152,9.5684,1956,0,-0.062793
Tabular,850,1.04128,8.3563,2648,0,-0.065188
Tabular,900,0.66464,9.2463,1473,0,-0.068066
Tabular,950,1.00656,8.9243,1869,0,-0.065447
Tabular,1000,1.17464,8.653,3469,0,-0.069221
