Model,Offered_Load_pps,Throughput_Mbps,Delay_ms,Drops,Collisions,Avg_Reward
A2C,50,0.18216,6.0426,415,0,0.051634
A2C,100,0.41584,5.2651,671,0,0.060285
A2C,150,0.60512,5.7673,1409,0,0.067584
A2C,200,0.75432,7.9589,2161,0,0.070164
A2C,250,0.96752,7.6467,2358,1,0.073621
A2C,300,1.12624,7.7154,3553,1,0.06686
A2C,350,1.29032,6.9769,3966,1,0.063687
A2C,400,1.48448,8.7407,4233,0,0.061129
A2C,450,1.79104,6.1763,3002,4,0.069824
A2C,500,1.894,7.4965,5258,7,0.062052
A2C,550,1.99536,8.1174,7026,13,0.057997
A2C,600,1.80168,10.4815,10914,1,0.03326
A2C,650,2.45672,9.4755,5737,18,0.056824
A2C,700,2.5876,8.3553,8338,20,0.0472
A2C,750,2.66928,9.9179,8590,9,0.047252
A2C,800,2.95584,10.4884,7041,13,0.04204
A2C,850,3.19008,6.5352,8229,46,0.053374
A2C,900,3.3856,8.8227,9645,59,0.038568
A2C,950,3.4532,8.031,10658,43,0.030191
A2C,1000,3.73904,7.1204,9367,82,0.041874
