Model,Offered_Load_pps,Throughput_Mbps,Delay_ms,Drops,Collisions,Avg_Reward
DQN,50,0.05584,3.7598,136,0,-0.056678
DQN,100,0.10992,4.7463,356,0,-0.061417
DQN,150,0.1912,6.1267,423,0,-0.059967
DQN,200,0.2376,6.8125,628,0,-0.054997
DQN,250,0.29448,8.0395,893,0,-0.06073
DQN,300,0.34488,7.1349,1101,0,-0.06615
DQN,350,0.41656,8.5559,1180,0,-0.066285
DQN,400,0.43088,9.1759,1031,0,-0.057796
DQN,450,0.57912,7.6718,1104,0,-0.060609
DQN,500,0.64392,8.9175,1391,0,-0.044149
DQN,550,0.54968,8.8295,1775,0,-0.06436
DQN,600,0.56776,10.5301,2272,0,-0.066787
DQN,650,0.73144,9.1208,1621,0,-0.062736
DQN,700,0.91488,9.2798,1592,0,-0.054519
DQN,750,0.72184,10.0388,2379,0,-0.065931
DQN,800,0.80816,10.1149,2897,0,-0.066716
DQN,850,1.03616,8.3481,2645,0,-0.065809
DQN,900,0.92024,9.6066,2086,0,-0.069683
DQN,950,1.14352,9.1575,2152,0,-0.066983
DQN,1000,1.07904,8.5483,3188,0,-0.06978
