Model,Offered_Load_pps,Throughput_Mbps,Delay_ms,Drops,Collisions,Avg_Reward
MCA-D3QN,50,0.15224,3.5943,507,0,0.042287
MCA-D3QN,100,0.29752,3.8254,1150,0,0.045516
MCA-D3QN,150,0.47696,4.6374,1256,0,0.052834
MCA-D3QN,200,0.6192,5.8466,1477,1,0.041803
MCA-D3QN,250,0.73312,5.3965,2742,1,0.047041
MCA-D3QN,300,0.9732,5.3707,2127,2,0.043291
MCA-D3QN,350,1.17952,4.8901,2361,8,0.054346
MCA-D3QN,400,1.09184,6.6677,4055,5,0.043969
MCA-D3QN,450,1.54824,5.2016,3622,8,0.047576
MCA-D3QN,500,1.53496,4.5737,4113,17,0.045618
MCA-D3QN,550,1.594,5.4177,7265,19,0.022759
MCA-D3QN,600,1.69672,7.3464,4919,22,0.036893
MCA-D3QN,650,2.04728,5.9699,5242,34,0.047022
MCA-D3QN,700,2.23792,5.5002,5733,44,0.043356
MCA-D3QN,750,2.24104,6.3929,7006,62,0.036973
MCA-D3QN,800,2.44016,6.8228,7359,80,0.022244
MCA-D3QN,850,2.86528,4.9542,4686,62,0.042707
MCA-D3QN,900,2.7344,6.7065,10691,86,0.024271
MCA-D3QN,950,2.77776,6.3389,8654,75,0.033028
MCA-D3QN,1000,3.05168,5.3951,7987,88,0.024792
