Model,Offered_Load_pps,Throughput_Mbps,Delay_ms,Drops,Collisions,Avg_Reward
PPO,50,0.1416,4.6718,505,0,0.031198
PPO,100,0.31528,4.2945,642,0,0.044057
PPO,150,0.46696,4.7765,1041,0,0.046093
PPO,200,0.65832,5.988,1917,2,0.055474
PPO,250,0.78368,5.4546,2426,3,0.046256
PPO,300,0.87744,6.1592,2220,2,0.047206
PPO,350,1.06,6.4218,3198,1,0.040243
PPO,400,1.25072,6.1666,3594,2,0.047126
PPO,450,1.45664,5.3101,3139,9,0.050916
PPO,500,1.51168,6.8331,3726,15,0.042927
PPO,550,1.8068,6.8608,2328,11,0.051806
PPO,600,1.79808,7.2144,7506,45,0.038067
PPO,650,2.21472,7.9224,4915,38,0.052434
PPO,700,2.05472,6.8773,4866,40,0.039359
PPO,750,2.49024,8.0268,6156,59,0.04671
PPO,800,2.53008,6.38,7463,50,0.028731
PPO,850,2.70176,5.9129,5902,63,0.031538
PPO,900,2.75912,6.8674,6661,94,0.027653
PPO,950,2.9296,6.6555,8780,109,0.022424
PPO,1000,3.24344,6.7194,7261,43,0.035915
