step,reward
200,-13.752166
400,-12.090312
600,-6.273627
800,-14.616659
1000,-13.918564
1200,-13.960684
1400,-14.230417
1600,-13.575278
1800,-15.255117
2000,-13.128406
2200,-13.112549
2400,-14.680214
2600,-13.967156
2800,-13.663364
3000,-13.282699
3200,-13.164765
3400,-13.763715
3600,-14.303523
3800,-12.955443
4000,-14.564684
4200,-12.998821
4400,-13.850684
4600,-15.543331
4800,-14.233338
5000,-15.24257
5200,-12.911156
5400,-13.720254
5600,-14.112441
5800,-11.998222
6000,-13.133256
6200,-12.813677
6400,-14.223718
6600,-13.422429
6800,-13.463778
7000,-13.860487
7200,-14.95971
7400,-15.251529
7600,-13.34928
7800,-14.211557
8000,-13.719396
8200,-14.459017
8400,-14.248225
8600,-3.455603
8800,-15.473664
9000,-15.305724
9200,-12.534449
9400,-3.351465
9600,-17.432494
9800,-13.309075
10000,-8.038853
