step,reward
200,-13.431575
400,-12.240269
600,-6.397117
800,-14.214303
1000,-13.251917
1200,-13.724185
1400,-13.581383
1600,-14.188613
1800,-14.064255
2000,-13.23445
2200,-12.979795
2400,-13.824449
2600,-14.452932
2800,-13.502067
3000,-13.093031
3200,-13.191591
3400,-13.058069
3600,-13.798573
3800,-13.695097
4000,-13.970863
4200,-14.392544
4400,-13.35759
4600,-14.113639
4800,-13.681386
5000,-14.007723
5200,-12.911037
5400,-13.273822
5600,-13.374113
5800,-13.525674
6000,-13.029093
6200,-14.172091
6400,-14.698473
6600,-13.543712
6800,-13.195318
7000,-14.187637
7200,-14.074282
7400,-13.798861
7600,-13.232738
7800,-13.730088
8000,-13.881881
8200,-14.805556
8400,-13.911357
8600,-6.61402
8800,-13.795757
9000,-15.290486
9200,-12.985899
9400,-11.907148
9600,-15.099761
9800,-14.176352
10000,-14.074379
