step,reward
200,-13.486268
400,-12.157303
600,-5.95332
800,-15.29911
1000,-14.512647
1200,-13.820915
1400,-13.57979
1600,-14.184055
1800,-14.167838
2000,-13.15587
2200,-12.95669
2400,-13.833074
2600,-14.461314
2800,-13.494098
3000,-13.089939
3200,-13.238976
3400,-13.439744
3600,-14.22914
3800,-13.184228
4000,-14.449569
4200,-13.920527
4400,-13.66008
4600,-14.223699
4800,-13.850693
5000,-14.22126
5200,-12.704809
5400,-13.450936
5600,-13.56191
5800,-13.104883
6000,-13.028731
6200,-13.592211
6400,-14.515604
6600,-13.53718
6800,-13.205821
7000,-13.951569
7200,-14.423039
7400,-14.301598
7600,-13.316907
7800,-13.738445
8000,-13.763886
8200,-14.727684
8400,-13.990457
8600,-3.69346
8800,-13.993801
9000,-15.055712
9200,-12.930958
9400,-3.547218
9600,-16.168997
9800,-13.946361
10000,-12.324398
