step,reward
200,-13.666835
400,-11.99973
600,-6.335566
800,-14.450196
1000,-13.723994
1200,-13.785524
1400,-13.974065
1600,-14.173463
1800,-14.571447
2000,-13.151848
2200,-13.005788
2400,-14.059206
2600,-14.2036
2800,-13.675307
3000,-13.254357
3200,-13.27707
3400,-13.149798
3600,-13.79985
3800,-13.476131
4000,-14.074192
4200,-14.292907
4400,-13.369169
4600,-14.12783
4800,-13.86107
5000,-14.145973
5200,-13.081619
5400,-13.26487
5600,-13.366998
5800,-13.532005
6000,-13.026703
6200,-14.082092
6400,-14.691927
6600,-13.532486
6800,-13.191434
7000,-14.100105
7200,-14.077319
7400,-13.843207
7600,-13.201805
7800,-13.74623
8000,-13.878717
8200,-14.805201
8400,-13.820682
8600,-6.143116
8800,-13.809578
9000,-15.292636
9200,-12.986833
9400,-11.705086
9600,-15.286722
9800,-14.10679
10000,-14.074688
