step,reward
200,-13.47173
400,-12.396645
600,-6.467731
800,-14.352384
1000,-13.447108
1200,-13.652445
1400,-13.506744
1600,-13.924444
1800,-14.204196
2000,-13.233148
2200,-13.034501
2400,-13.896308
2600,-14.460053
2800,-13.594315
3000,-13.171866
3200,-13.096832
3400,-13.230107
3600,-13.817636
3800,-13.602037
4000,-14.076313
4200,-13.569325
4400,-13.430343
4600,-14.735589
4800,-13.86624
5000,-14.454288
5200,-12.783026
5400,-13.631805
5600,-13.472556
5800,-12.642577
6000,-13.200058
6200,-13.756865
6400,-14.210626
6600,-13.428195
6800,-13.219814
7000,-13.842974
7200,-14.294028
7400,-14.145932
7600,-13.008473
7800,-14.06413
8000,-13.833118
8200,-14.301491
8400,-13.89165
8600,-3.498083
8800,-14.365111
9000,-15.500228
9200,-12.794531
9400,-3.390558
9600,-16.596891
9800,-13.4721
10000,-10.023271
