step,reward
200,-13.752196
400,-12.069305
600,-6.272191
800,-14.615904
1000,-13.813589
1200,-13.871752
1400,-14.089728
1600,-13.91208
1800,-14.874301
2000,-13.146336
2200,-13.005657
2400,-14.327169
2600,-14.046407
2800,-13.751842
3000,-13.225359
3200,-13.182642
3400,-13.532545
3600,-14.097867
3800,-13.26936
4000,-14.364964
4200,-13.909425
4400,-13.31234
4600,-14.731101
4800,-13.942709
5000,-14.680806
5200,-12.857439
5400,-13.456668
5600,-13.635055
5800,-13.263798
6000,-13.196607
6200,-13.98458
6400,-14.450856
6600,-13.445166
6800,-13.321236
7000,-13.855421
7200,-14.268823
7400,-14.571451
7600,-13.296619
7800,-13.852904
8000,-13.754585
8200,-14.736117
8400,-14.052156
8600,-3.629457
8800,-14.606016
9000,-15.25354
9200,-12.762911
9400,-3.684957
9600,-16.142509
9800,-13.870881
10000,-12.901359
10200,-14.372977
