step,reward
200,-14.767297
400,-13.695496
600,-15.006542
800,-14.625598
1000,-15.361392
1200,-15.314297
1400,-15.112307
1600,-14.634728
1800,-16.602346
2000,-14.177582
2200,-15.390294
2400,-14.923588
2600,-16.028399
2800,-15.228796
3000,-15.240211
3200,-14.785934
3400,-15.469791
3600,-15.611338
3800,-15.818377
4000,-10.459688
4200,-15.358672
4400,-14.903964
4600,-15.291212
4800,-16.194701
5000,-15.736201
5200,-15.125679
5400,-16.271268
5600,-14.151294
5800,-14.010491
6000,-13.9472
6200,-14.855097
6400,-12.108838
6600,-16.066546
6800,-15.275381
7000,-13.634334
7200,-14.632123
7400,-15.122032
7600,-13.747151
7800,-12.928612
8000,-13.960971
8200,-0.314153
8400,-15.18708
8600,-14.768403
8800,-14.762883
9000,-14.172169
9200,-15.818539
9400,-15.106505
9600,-14.28459
9800,-14.002418
10000,-13.762564
