step,reward
200,-15.255582
400,-15.43618
600,-15.554911
800,-15.973685
1000,-15.890948
1200,-15.770629
1400,-14.040812
1600,-14.213765
1800,-14.638011
2000,-14.76551
2200,-15.039528
2400,-14.298799
2600,-14.058563
2800,-14.268189
3000,-14.644446
3200,-14.857942
3400,-15.32616
3600,-14.699036
3800,-15.273273
4000,-15.847288
4200,-14.172293
4400,-14.531687
4600,-16.453001
4800,-16.115349
5000,-15.072025
5200,-15.956484
5400,-15.236404
5600,-15.013048
5800,-14.822074
6000,-14.331598
6200,-15.590972
6400,-15.404642
6600,-13.630436
6800,-14.928055
7000,-14.569996
7200,-16.639992
7400,-15.226775
7600,-13.728174
7800,-14.807988
8000,-15.688781
8200,-13.987549
8400,-15.557075
8600,-15.187124
8800,-13.99093
9000,-15.618031
9200,-17.062807
9400,-14.119096
9600,-14.660445
9800,-16.156019
10000,-14.842543
