step,reward
200,-13.325621
400,-14.25022
600,-15.316908
800,-14.461638
1000,-14.904472
1200,-15.652183
1400,-13.226791
1600,-14.538812
1800,-14.345085
2000,-13.835028
2200,-14.71864
2400,-14.441649
2600,-14.205291
2800,-14.382207
3000,-14.808886
3200,-15.498949
3400,-14.624342
3600,-14.924178
3800,-14.785916
4000,-15.174261
4200,-15.087865
4400,-14.838474
4600,-14.152157
4800,-14.133542
5000,-15.398548
5200,-14.175063
5400,-14.708879
5600,-12.750495
5800,-14.287299
6000,-14.067733
6200,-15.249889
6400,-13.084817
6600,-14.914024
6800,-14.7397
7000,-13.794653
7200,-13.928951
7400,-14.341504
7600,-14.27551
7800,-13.192257
8000,-14.866039
8200,-0.343348
8400,-15.396387
8600,-14.825756
8800,-13.915253
9000,-13.678859
9200,-15.021759
9400,-14.246649
9600,-13.234337
9800,-14.588458
10000,-13.30257
