step,reward
200,-14.986901
400,-13.896234
600,-15.651514
800,-14.875231
1000,-14.448321
1200,-14.803163
1400,-14.440383
1600,-14.158355
1800,-15.35624
2000,-14.718113
2200,-15.843967
2400,-14.711435
2600,-14.792063
2800,-14.912215
3000,-14.171565
3200,-14.709932
3400,-14.331655
3600,-15.117015
3800,-14.385401
4000,-14.979046
4200,-15.086835
4400,-14.651552
4600,-15.01179
4800,-14.890028
5000,-15.011189
5200,-14.993806
5400,-14.878394
5600,-13.505477
5800,-14.97527
6000,-14.5333
6200,-15.926263
6400,-13.370406
6600,-14.88206
6800,-14.86888
7000,-13.43386
7200,-15.399252
7400,-14.50215
7600,-14.542614
7800,-13.386756
8000,-15.237826
8200,-13.573319
8400,-15.673685
8600,-15.067795
8800,-14.196981
9000,-14.367856
9200,-15.468113
9400,-14.722174
9600,-13.293691
9800,-15.216128
10000,-14.091944
