step,reward
200,-15.143503
400,-15.064543
600,-15.19068
800,-15.808767
1000,-15.489886
1200,-15.851651
1400,-14.981164
1600,-15.840949
1800,-15.526602
2000,-14.98518
2200,-15.609593
2400,-14.447775
2600,-14.857552
2800,-14.591443
3000,-15.304964
3200,-14.872444
3400,-15.616309
3600,-14.600332
3800,-15.008612
4000,-15.881955
4200,-14.239429
4400,-13.873375
4600,-15.656795
4800,-15.519533
5000,-14.907636
5200,-16.330106
5400,-15.868091
5600,-15.305054
5800,-15.064903
6000,-14.228952
6200,-15.370926
6400,-15.946325
6600,-13.872171
6800,-15.57181
7000,-14.359809
7200,-16.832985
7400,-15.017908
7600,-13.45431
7800,-14.753752
8000,-15.616009
8200,-14.075304
8400,-15.029279
8600,-15.551587
8800,-14.173187
9000,-15.372334
9200,-17.220665
9400,-13.947377
9600,-14.501726
9800,-15.740184
10000,-14.969474
10200,-15.053361
