step,reward
200,-14.574886
400,-13.920197
600,-15.5132
800,-15.750951
1000,-14.824146
1200,-15.323849
1400,-14.558538
1600,-16.687682
1800,-16.206879
2000,-14.530317
2200,-14.552989
2400,-14.460405
2600,-15.366233
2800,-14.767326
3000,-14.984793
3200,-14.44334
3400,-14.685971
3600,-15.724524
3800,-14.835855
4000,-15.930546
4200,-14.783857
4400,-13.979035
4600,-14.757271
4800,-16.181192
5000,-15.148503
5200,-17.258514
5400,-17.462771
5600,-14.250845
5800,-15.018658
6000,-14.291887
6200,-15.407175
6400,-13.56405
6600,-17.060683
6800,-15.26628
7000,-13.677851
7200,-17.497395
7400,-14.268466
7600,-14.749141
7800,-14.54725
8000,-13.87917
8200,-13.982346
8400,-14.750759
8600,-14.574564
8800,-13.679348
9000,-14.536899
9200,-16.667849
9400,-15.968002
9600,-14.082997
9800,-15.230022
10000,-13.647956
10200,-14.782474
