step,reward
200,-13.05175
400,-14.53734
600,-16.113419
800,-16.082266
1000,-15.935578
1200,-15.884384
1400,-15.273164
1600,-16.343273
1800,-16.28815
2000,-15.268723
2200,-15.967371
2400,-16.181772
2600,-15.817224
2800,-15.801133
3000,-15.208198
3200,-15.114883
3400,-14.949541
3600,-15.451048
3800,-15.458917
4000,-16.805577
4200,-16.316583
4400,-15.426044
4600,-15.844543
4800,-16.571861
5000,-15.362958
5200,-16.08712
5400,-16.913674
5600,-16.048919
5800,-14.960604
6000,-15.378671
6200,-16.098873
6400,-15.907584
6600,-16.128198
6800,-15.920576
7000,-14.573042
7200,-16.105675
7400,-15.810885
7600,-13.498064
7800,-16.293613
8000,-15.671467
8200,-11.449054
8400,-15.193493
8600,-15.957906
8800,-14.542126
9000,-16.098053
9200,-17.514448
9400,-15.343577
9600,-15.09615
9800,-15.230209
10000,-15.313425
