step,reward
200,-14.698751795912113
400,-13.59628912991609
600,-15.20472928656302
800,-15.020546436726725
1000,-15.023909541054607
1200,-15.485617891693146
1400,-14.18125083987831
1600,-14.525356147821453
1800,-15.511034987679325
2000,-14.239975330882471
2200,-13.971177431988458
2400,-14.603843172139516
2600,-14.904216421143483
2800,-14.628319355854828
3000,-14.529188964798951
3200,-15.286666579669465
3400,-14.783728578635747
3600,-14.736542285392494
3800,-14.520447271060934
4000,-14.152080345875463
4200,-14.554193469051182
4400,-13.754458836492711
4600,-14.20165378898939
4800,-15.054521548794126
5000,-14.649194312154535
5200,-14.67848513839587
5400,-14.498255425306334
5600,-13.425870510358981
5800,-14.272361497969003
6000,-12.621812841309474
6200,-14.765321417628211
6400,-12.800550914835297
6600,-15.238054907244361
6800,-14.941697778988141
7000,-14.186445967776235
7200,-13.965845735366717
7400,-14.326160144504453
7600,-13.510317150526001
7800,-13.83016012525336
8000,-15.016781762335148
8200,-0.3403882596720881
8400,-15.267946059847219
8600,-14.665733360310579
8800,-13.061435633851634
9000,-13.746178207465897
9200,-14.50475346206431
9400,-15.046936147002027
9600,-13.34251735721103
9800,-14.990704812391346
10000,-13.875143913259883
