step,reward
200,-13.8943
400,-13.97604
600,-14.912512
800,-14.235643
1000,-14.815451
1200,-15.658761
1400,-14.170354
1600,-14.420068
1800,-14.55869
2000,-14.904922
2200,-14.541417
2400,-14.134957
2600,-15.572667
2800,-14.903656
3000,-14.375682
3200,-13.806017
3400,-14.677173
3600,-15.263813
3800,-14.14429
4000,-15.079536
4200,-14.878161
4400,-13.839283
4600,-14.669261
4800,-14.806265
5000,-14.332433
5200,-14.771424
5400,-14.949991
5600,-13.566649
5800,-14.548196
6000,-14.853092
6200,-15.712047
6400,-13.867082
6600,-15.026965
6800,-14.83069
7000,-14.521283
7200,-13.996424
7400,-14.550494
7600,-14.343051
7800,-13.613854
8000,-14.363586
8200,-13.918361
8400,-14.182406
8600,-14.334467
8800,-13.317552
9000,-14.216916
9200,-15.397735
9400,-14.340982
9600,-13.592338
9800,-15.246418
10000,-14.051462
