step,reward
200,-14.904853
400,-13.887357
600,-15.272194
800,-15.84025
1000,-17.050292
1200,-16.018141
1400,-14.428486
1600,-14.437415
1800,-14.787398
2000,-14.362762
2200,-13.921018
2400,-14.061081
2600,-14.486436
2800,-14.436464
3000,-14.147631
3200,-15.209802
3400,-14.827757
3600,-15.27602
3800,-15.362331
4000,-14.546825
4200,-14.577943
4400,-14.203327
4600,-14.392612
4800,-16.594211
5000,-15.337083
5200,-14.084744
5400,-15.170553
5600,-13.056875
5800,-15.253093
6000,-14.059069
6200,-14.305483
6400,-13.189213
6600,-14.601087
6800,-14.59716
7000,-13.676519
7200,-14.090863
7400,-14.93621
7600,-13.692979
7800,-14.947374
8000,-15.385895
8200,-0.315765
8400,-14.611292
8600,-14.826268
8800,-13.371244
9000,-14.596752
9200,-15.789617
9400,-14.189036
9600,-13.045747
9800,-14.669429
10000,-13.437637
