step,reward
200,-15.197462
400,-15.229742
600,-14.936427
800,-15.243343
1000,-15.043112
1200,-15.582057
1400,-14.614198
1600,-14.935639
1800,-15.123348
2000,-15.01606
2200,-15.318898
2400,-14.662862
2600,-14.139267
2800,-14.306938
3000,-14.988836
3200,-15.11424
3400,-15.655254
3600,-14.646315
3800,-15.702103
4000,-16.167093
4200,-14.0995
4400,-13.904673
4600,-16.006122
4800,-15.152483
5000,-15.027531
5200,-15.955918
5400,-16.040291
5600,-14.870414
5800,-14.643519
6000,-14.469453
6200,-15.463526
6400,-15.439085
6600,-13.766901
6800,-15.584394
7000,-14.133383
7200,-15.85754
7400,-14.9209
7600,-13.508605
7800,-14.613847
8000,-15.072297
8200,-13.781282
8400,-15.077691
8600,-14.891845
8800,-13.839967
9000,-14.939391
9200,-17.192266
9400,-13.860147
9600,-14.349429
9800,-15.452432
10000,-14.483462
