step,reward
200,-14.378687
400,-13.827172
600,-14.297757
800,-14.56717
1000,-15.048569
1200,-15.261795
1400,-13.809581
1600,-14.296657
1800,-15.52255
2000,-14.533736
2200,-13.896911
2400,-14.112636
2600,-14.645868
2800,-14.568364
3000,-15.278299
3200,-14.569037
3400,-14.662027
3600,-14.647697
3800,-13.960065
4000,-14.23254
4200,-14.766266
4400,-13.54116
4600,-13.748615
4800,-14.453345
5000,-14.419676
5200,-14.200374
5400,-14.832775
5600,-12.542285
5800,-14.61265
6000,-14.832293
6200,-14.98142
6400,-12.395875
6600,-14.376997
6800,-14.773543
7000,-13.93771
7200,-13.437378
7400,-14.872066
7600,-13.146937
7800,-13.760756
8000,-14.544602
8200,-0.343348
8400,-15.353387
8600,-14.743059
8800,-12.95228
9000,-13.169678
9200,-15.438565
9400,-14.490257
9600,-13.162756
9800,-14.63324
10000,-13.652181
