step,reward
200,-14.922499
400,-13.856368
600,-14.871598
800,-14.687656
1000,-15.029343
1200,-15.301893
1400,-14.208305
1600,-14.65215
1800,-14.793431
2000,-14.18112
2200,-13.845456
2400,-14.729568
2600,-14.608255
2800,-14.777905
3000,-15.244388
3200,-15.101045
3400,-14.64245
3600,-14.897465
3800,-14.864817
4000,-15.062232
4200,-14.498821
4400,-14.280209
4600,-14.148534
4800,-14.919128
5000,-14.846243
5200,-13.783134
5400,-14.718549
5600,-13.613535
5800,-14.502005
6000,-14.212142
6200,-15.157674
6400,-13.660611
6600,-15.135588
6800,-14.8694
7000,-13.797941
7200,-14.297065
7400,-14.436823
7600,-13.568586
7800,-13.947876
8000,-14.444071
8200,-0.342908
8400,-15.25481
8600,-14.915869
8800,-14.011644
9000,-13.835382
9200,-15.692632
9400,-15.159094
9600,-13.785945
9800,-14.671051
10000,-13.470665
10200,-14.262099
