step,reward
200,-15.143633
400,-15.139349
600,-15.34394
800,-15.833689
1000,-15.519466
1200,-15.8477
1400,-14.981569
1600,-15.999573
1800,-15.726737
2000,-15.19902
2200,-16.118306
2400,-14.844398
2600,-15.54489
2800,-14.995987
3000,-15.629795
3200,-15.263668
3400,-15.848035
3600,-14.579209
3800,-15.386324
4000,-16.051377
4200,-14.32188
4400,-14.250757
4600,-16.19023
4800,-15.616656
5000,-14.88426
5200,-16.463596
5400,-16.20211
5600,-15.537832
5800,-15.034448
6000,-14.335114
6200,-15.327801
6400,-15.644898
6600,-13.808609
6800,-15.264556
7000,-14.391329
7200,-16.298772
7400,-14.976897
7600,-13.35213
7800,-14.436934
8000,-15.379859
8200,-14.021629
8400,-14.643905
8600,-15.296016
8800,-13.98853
9000,-15.597297
9200,-17.027849
9400,-13.961302
9600,-14.3864
9800,-15.627594
10000,-14.743384
