step,reward
200,-14.951922
400,-16.744687
600,-18.780866
800,-15.66325
1000,-18.239404
1200,-17.725623
1400,-18.548869
1600,-19.548919
1800,-19.285058
2000,-15.194125
2200,-20.364679
2400,-18.800642
2600,-18.634883
2800,-18.539161
3000,-19.031434
3200,-18.159679
3400,-17.830271
3600,-18.763963
3800,-21.255755
4000,-21.351032
4200,-19.627018
4400,-18.427185
4600,-21.904628
4800,-21.367371
5000,-18.850509
5200,-19.190069
5400,-20.784443
5600,-20.168768
5800,-19.588697
6000,-19.299025
6200,-21.585781
6400,-21.01391
6600,-18.708973
6800,-18.122068
7000,-16.515086
7200,-24.143603
7400,-18.676331
7600,-12.602
7800,-20.118224
8000,-17.284301
8200,-4.634397
8400,-21.192775
8600,-19.223947
8800,-18.865449
9000,-21.0652
9200,-22.455746
9400,-19.615406
9600,-19.943695
9800,-20.682004
10000,-20.088494
