step,reward
200,-14.663154636920117
400,-14.855011777464293
600,-19.924406848692794
800,-14.840219823602535
1000,-13.698572003801548
1200,-18.085789670297846
1400,-18.226930916127984
1600,-15.229607055486184
1800,-17.638741918313787
2000,-13.940234811077929
2200,-16.040885728885957
2400,-16.73890697000008
2600,-16.30870038868246
2800,-17.60702702767632
3000,-16.76252915508069
3200,-15.824716532864466
3400,-16.980962137052884
3600,-18.665685949255458
3800,-15.786889860096633
4000,-15.405244073914824
4200,-14.107459286739848
4400,-14.015015242087776
4600,-15.370001667439567
4800,-15.937975908565091
5000,-19.338510759537492
5200,-18.409177441330478
5400,-17.180460668353593
5600,-17.315742710328692
5800,-15.373242449184591
6000,-15.79072198636737
6200,-15.187373086019047
6400,-15.597947045823593
6600,-18.51604019278773
6800,-15.126273103087525
7000,-14.172818774380586
7200,-16.937608336980116
7400,-18.07096701336866
7600,-14.15420001945101
7800,-15.742739472424638
8000,-15.147113356998505
8200,-0.3119530663664991
8400,-14.415493380750512
8600,-17.353192122716283
8800,-15.995858380913965
9000,-15.00716058415977
9200,-15.510552557156798
9400,-18.116142148390146
9600,-15.963891999109688
9800,-14.765811425784735
10000,-13.835438097494059
