Offered_Load_pps,TDMA_Throughput_Mbps,TDMA_Delay_s,TDMA_Drops,TDMA_Collisions,TDMA_Fairness,TDMA_Health,CSMA_Throughput_Mbps,CSMA_Delay_s,CSMA_Drops,CSMA_Collisions,CSMA_Fairness,CSMA_Health
50,0.13376,0.00601903,729.0,0.0,0.5975,0.6624,0.13496,0.00137943,809.0,0.0,0.6366,0.6564
100,0.26992,0.00665918,1402.0,0.0,0.7087,0.6509,0.2952,0.00169768,1293.0,0.0,0.7553,0.6555
150,0.39304,0.0081103,2147.0,0.0,0.7811,0.6313,0.40336,0.00173122,2356.0,0.0,0.7706,0.6408
200,0.51264,0.00996227,3042.0,0.0,0.8461,0.6259,0.55224,0.00178677,2930.0,5.0,0.792,0.6321
250,0.6632,0.00841181,3492.0,0.0,0.8381,0.6129,0.73376,0.00184727,3319.0,8.0,0.8353,0.6271
300,0.82432,0.0076534,3879.0,0.0,0.8413,0.6072,0.89744,0.00186136,3807.0,11.0,0.8494,0.6156
350,0.91368,0.00841011,5054.0,0.0,0.8323,0.5877,1.01672,0.00186271,4855.0,20.0,0.8353,0.6044
400,1.1036,0.0078085,5289.0,0.0,0.8615,0.584,1.14416,0.00188393,5800.0,18.0,0.8437,0.5997
450,1.19216,0.00911864,6684.0,0.0,0.8831,0.5725,1.33984,0.00188995,5935.0,22.0,0.8865,0.5972
500,1.27392,0.00884254,7905.0,0.0,0.8746,0.5662,1.358,0.00191088,8212.0,32.0,0.8964,0.5714
550,1.5096,0.00928264,7372.0,0.0,0.9134,0.5658,1.61312,0.00190973,7746.0,48.0,0.8808,0.5816
600,1.69096,0.00847345,7759.0,0.0,0.8719,0.5725,1.73776,0.00194464,8386.0,83.0,0.9092,0.5701
650,1.61536,0.00960565,11004.0,0.0,0.8624,0.5588,1.88152,0.00195723,9085.0,80.0,0.9068,0.5674
700,1.86976,0.00973571,10058.0,0.0,0.8895,0.5606,2.06872,0.00196657,9322.0,84.0,0.8982,0.5696
750,2.13712,0.00843392,9632.0,0.0,0.8969,0.5649,2.07616,0.00197586,11486.0,132.0,0.8941,0.5613
800,2.27584,0.00805837,9871.0,0.0,0.8764,0.5626,2.2548,0.00199311,11534.0,141.0,0.9068,0.5584
850,2.31104,0.00841282,11943.0,0.0,0.8694,0.5572,2.4088,0.00201889,12323.0,182.0,0.8873,0.5642
900,2.57752,0.0087996,11058.0,0.0,0.9041,0.5605,2.70808,0.00200369,10909.0,124.0,0.9045,0.5645
950,2.5228,0.01162295,13906.0,0.0,0.9071,0.5521,2.69848,0.00204379,13751.0,223.0,0.8995,0.5631
1000,2.67856,0.0089858,14890.0,0.0,0.8846,0.5562,2.79936,0.00205903,14731.0,226.0,0.9079,0.5572
